Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Steven Adams\adamsst01,C,26,OKC,54,54,1455,6.2,10.4,.592,0.0,0.1,.333,6.2,10.4,.594,2.5,4.2,.607,4.6,8.0,12.6,3.3,1.1,1.5,2.0,2.6,14.9
2,Bam Adebayo\adebaba01,PF,22,MIA,59,59,2031,6.5,11.4,.571,0.0,0.2,.077,6.5,11.2,.582,3.9,5.6,.689,2.7,8.3,11.0,5.3,1.3,1.3,2.9,2.6,16.9
3,LaMarcus Aldridge\aldrila01,C,34,SAS,52,52,1717,8.0,16.1,.495,1.3,3.2,.392,6.7,12.9,.520,3.2,3.9,.829,2.2,6.0,8.2,2.7,0.7,1.7,1.5,2.7,20.5
4,Nickeil Alexander-Walker\alexani01,SG,21,NOP,41,0,501,5.5,16.3,.339,2.9,8.4,.342,2.7,7.9,.336,1.2,2.0,.607,0.6,5.2,5.7,5.3,0.8,0.5,2.9,3.3,15.2
5,Grayson Allen\allengr01,SG,24,MEM,30,0,498,5.7,12.7,.449,2.4,6.6,.363,3.3,6.1,.541,2.2,2.5,.857,0.4,4.4,4.8,3.1,0.4,0.1,1.7,2.6,16.0
6,Jarrett Allen\allenja01,C,21,BRK,58,54,1513,5.8,9.0,.646,0.0,0.1,.000,5.8,8.9,.654,3.2,5.2,.621,4.2,9.0,13.2,2.0,0.8,2.0,1.5,3.3,14.8
7,Kadeem Allen\allenka01,SG,27,NYK,10,0,117,5.8,13.5,.432,1.5,4.9,.313,4.3,8.6,.500,2.2,3.4,.636,0.6,2.2,2.8,6.5,1.5,0.6,2.5,2.2,15.4
8,Al-Farouq Aminu\aminual01,PF,29,ORL,18,2,380,2.4,8.1,.291,0.9,3.4,.250,1.5,4.7,.320,1.8,2.7,.655,2.3,6.0,8.2,2.0,1.7,0.8,1.6,2.6,7.4
9,Justin Anderson\anderju01,SF,26,BRK,3,0,17,2.1,12.7,.167,0.0,6.4,.000,2.1,6.4,.333,2.1,4.2,.500,0.0,4.2,4.2,0.0,0.0,2.1,0.0,4.2,6.4
10,Kyle Anderson\anderky01,PF,26,MEM,53,14,986,4.4,8.9,.496,0.4,1.8,.229,4.0,7.2,.561,1.4,2.1,.655,1.8,6.5,8.3,4.3,1.6,0.9,1.6,2.9,10.6
11,Ryan Anderson\anderry01,PF,31,HOU,2,0,14,5.1,18.0,.286,2.6,12.9,.200,2.6,5.1,.500,0.0,0.0,,0.0,18.0,18.0,5.1,2.6,0.0,2.6,2.6,12.9
